"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Rahaghi F.F.; Humbert M.; Hoeper M.M.; White R.J.; Frantz R.P.; Hassoun P.M.; Hemnes A.R.; Kawut S.M.; McLaughlin V.V.; Meszaros G.; Mol P.G.M.; Nathan S.D.; Psotka M.A.; Rahaghi F.N.; Sitbon O.; Stockbridge N.; Weatherald J.; Zannad F.; Sahay S.","Rahaghi, Franck F (26221922700); Humbert, Marc (55382766900); Hoeper, Marius M (7003685848); White, R James (55838510962); Frantz, Robert P (57206169155); Hassoun, Paul M (7003614870); Hemnes, Anna R (10144409200); Kawut, Steven M (57210179879); McLaughlin, Vallerie V (7003932904); Meszaros, Gergely (57223196511); Mol, Peter G M (8503767200); Nathan, Steven D (7005532622); Psotka, Mitchel A (56056468300); Rahaghi, Farbod N (23489808200); Sitbon, Olivier (55785611900); Stockbridge, Norman (55659138100); Weatherald, Jason (24172300500); Zannad, Faiez (7102111367); Sahay, Sandeep (13610777400)","26221922700; 55382766900; 7003685848; 55838510962; 57206169155; 7003614870; 10144409200; 57210179879; 7003932904; 57223196511; 8503767200; 7005532622; 56056468300; 23489808200; 55785611900; 55659138100; 24172300500; 7102111367; 13610777400","Future treatment paradigms in pulmonary arterial hypertension: a personal view from physicians, health authorities, and patients","2025","The Lancet Respiratory Medicine","13","4","","364","370","6","1","10.1016/S2213-2600(24)00425-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000322768&doi=10.1016%2fS2213-2600%2824%2900425-9&partnerID=40&md5=ac058a2fd9fa1627fde556f79f5dda75","Review","Final","","Scopus","2-s2.0-105000322768"
"Gomberg-Maitland M.; McLaughlin V.V.; Badesch D.B.; Ghofrani H.-A.; Hoeper M.M.; Humbert M.; Preston I.R.; Souza R.; Waxman A.B.; de Oliveira Pena J.; Lu J.T.; Manimaran S.; Gibbs J.S.R.","Gomberg-Maitland, Mardi (6603140188); McLaughlin, Vallerie V. (7003932904); Badesch, David B. (7003497039); Ghofrani, Hossein-Ardeschir (35547709200); Hoeper, Marius M. (7003685848); Humbert, Marc (55382766900); Preston, Ioana R. (7004299528); Souza, Rogerio (8703023400); Waxman, Aaron B. (7007029630); de Oliveira Pena, Janethe (57192888707); Lu, Jonathan T. (58620073000); Manimaran, Solaiappan (57222635349); Gibbs, J. Simon R. (7202083208)","6603140188; 7003932904; 7003497039; 35547709200; 7003685848; 55382766900; 7004299528; 8703023400; 7007029630; 57192888707; 58620073000; 57222635349; 7202083208","Long-Term Effects of Sotatercept on Right Ventricular Function: Results From the PULSAR Study","2023","JACC: Heart Failure","11","10","","1457","1459","2","7","10.1016/j.jchf.2023.05.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172307030&doi=10.1016%2fj.jchf.2023.05.030&partnerID=40&md5=eb6aa65ddf0bdd6732c68cbf879ba114","Letter","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85172307030"
"Weatherald J.; Zanini U.; Humbert M.","Weatherald, Jason (24172300500); Zanini, Umberto (57222408774); Humbert, Marc (55382766900)","24172300500; 57222408774; 55382766900","Illuminating the Importance of Pulmonary Arterial Compliance in Pulmonary Hypertension","2023","American Journal of Respiratory and Critical Care Medicine","208","3","","231","233","2","3","10.1164/rccm.202306-0990ED","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166395337&doi=10.1164%2frccm.202306-0990ED&partnerID=40&md5=5f186df44e6aad91c29b308519f95c92","Editorial","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85166395337"
"Poisson C.; Hlavaty A.; Favrolt N.; Chaumais M.-C.; Grynblat J.; Jutant E.-M.; Lechartier B.; Maurac A.; Mouillot P.; Palat S.; Rambach L.; Antigny F.; Cottin V.; Beltramo G.; Humbert M.; Khouri C.; Bonniaud P.; Montani D.","Poisson, Camille (58991913400); Hlavaty, Alex (57217005786); Favrolt, Nicolas (21233529800); Chaumais, Marie-Camille (23476472300); Grynblat, Julien (58035792400); Jutant, Etienne-Marie (56287394400); Lechartier, Benoît (55193445700); Maurac, Arnaud (57201820982); Mouillot, Pierre (57219221378); Palat, Sylvain (15835910400); Rambach, Laurie (50262721900); Antigny, Fabrice (14035186900); Cottin, Vincent (7004305225); Beltramo, Guillaume (56313661600); Humbert, Marc (55382766900); Khouri, Charles (56108020800); Bonniaud, Philippe (6601993059); Montani, David (23392928800)","58991913400; 57217005786; 21233529800; 23476472300; 58035792400; 56287394400; 55193445700; 57201820982; 57219221378; 15835910400; 50262721900; 14035186900; 7004305225; 56313661600; 55382766900; 56108020800; 6601993059; 23392928800","Association of Pulmonary Hypertension With Trastuzumab Emtansine: An Analysis of French Pulmonary Hypertension Registry and WHO Pharmacovigilance Database","2025","Chest","167","5","","1468","1480","12","0","10.1016/j.chest.2024.11.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218985412&doi=10.1016%2fj.chest.2024.11.006&partnerID=40&md5=4477f799e76854eacd484dae75cb780d","Article","Final","","Scopus","2-s2.0-85218985412"
"Boucly A.; Beurnier A.; Turquier S.; Jevnikar M.; Groote P.D.; Chaouat A.; Cheron C.; Jaïs X.; Picard F.; Prévot G.; Roche A.; Solinas S.; Cottin V.; Bauer F.; Montani D.; Humbert M.; Savale L.; Sitbon O.","Boucly, Athénaïs (57041133700); Beurnier, Antoine (57207315902); Turquier, Ségolène (56471935100); Jevnikar, Mitja (55521710100); Groote, Pascal de (7006255630); Chaouat, Ari (7006839874); Cheron, Céline (57226437072); Jaïs, Xavier (8512908600); Picard, François (23566872800); Prévot, Grégoire (24802539800); Roche, Anne (57290626800); Solinas, Sabina (57871219100); Cottin, Vincent (7004305225); Bauer, Fabrice (55977581400); Montani, David (23392928800); Humbert, Marc (55382766900); Savale, Laurent (35410452900); Sitbon, Olivier (55785611900)","57041133700; 57207315902; 56471935100; 55521710100; 7006255630; 7006839874; 57226437072; 8512908600; 23566872800; 24802539800; 57290626800; 57871219100; 7004305225; 55977581400; 23392928800; 55382766900; 35410452900; 55785611900","Risk stratification refinements with inclusion of haemodynamic variables at follow-up in patients with pulmonary arterial hypertension","2024","European Respiratory Journal","64","3","2400197","","","","13","10.1183/13993003.00197-2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203299317&doi=10.1183%2f13993003.00197-2024&partnerID=40&md5=caaeb952173e32ee08c9f256ea723eab","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85203299317"
"Kovacs G.; Humbert M.; Avian A.; Lewis G.D.; Ulrich S.; Vonk Noordegraaf A.; Souza R.; Galiè N.; Malhotra R.; Saxer S.; Grünig E.; Egenlauf B.; Ewert R.; Heine A.; Tedford R.J.; Houston B.A.; Kasperowicz K.; Kurzyna M.; Rosenkranz S.; Herkenrath S.; Barbera J.A.; Blanco I.; Oliveira R.K.F.; Andersen M.; Savale L.; Systrom D.; Maron B.A.; Tello K.; Condliffe R.; Mak S.; Baratto C.; Hsu S.; D’Alto M.; McCabe C.; Herve P.; Olschewski H.","Kovacs, Gabor (57192991243); Humbert, Marc (55382766900); Avian, Alexander (36627958600); Lewis, Gregory D. (59326305600); Ulrich, Silvia (12788693300); Vonk Noordegraaf, Anton (57208105519); Souza, Rogerio (8703023400); Galiè, Nazzareno (35236644600); Malhotra, Rajeev (8072075900); Saxer, Stephanie (56829246200); Grünig, Ekkehard (6603702994); Egenlauf, Benjamin (36451872400); Ewert, Ralf (35446517200); Heine, Alexander (57204099903); Tedford, Ryan J. (23991838800); Houston, Brian A. (39561090600); Kasperowicz, Krzysztof (57310403000); Kurzyna, Marcin (6701386326); Rosenkranz, Stephan (55190823300); Herkenrath, Simon (57192206536); Barbera, Joan Albert (57214076295); Blanco, Isabel (35894869100); Oliveira, Rudolf K.F. (55316754400); Andersen, Mads (7403198361); Savale, Laurent (35410452900); Systrom, David (7004052147); Maron, Bradley A. (7103275927); Tello, Khodr (24279047800); Condliffe, Robin (24328531500); Mak, Susanna (7102103810); Baratto, Claudia (57200567598); Hsu, Steven (7403184217); D’Alto, Michele (57208726989); McCabe, Colm (55821937100); Herve, Philippe (55415066800); Olschewski, Horst (55256835200)","57192991243; 55382766900; 36627958600; 59326305600; 12788693300; 57208105519; 8703023400; 35236644600; 8072075900; 56829246200; 6603702994; 36451872400; 35446517200; 57204099903; 23991838800; 39561090600; 57310403000; 6701386326; 55190823300; 57192206536; 57214076295; 35894869100; 55316754400; 7403198361; 35410452900; 7004052147; 7103275927; 24279047800; 24328531500; 7102103810; 57200567598; 7403184217; 57208726989; 55821937100; 55415066800; 55256835200","Prognostic relevance of exercise pulmonary hypertension: results of the multicentre PEX-NET Clinical Research Collaboration","2024","European Respiratory Journal","64","6","2400698","","","","9","10.1183/13993003.00698-2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213253399&doi=10.1183%2f13993003.00698-2024&partnerID=40&md5=135a01c4ffbad8c5e5d834a8049658a3","Article","Final","","Scopus","2-s2.0-85213253399"
"Beurnier A.; Savale L.; Jaïs X.; Colle R.; Pham T.; Morin L.; Bulifon S.; Noël N.; Boucly A.; Delbarre B.; Ebstein N.; Figueiredo S.; Gasnier M.; Harrois A.; Jutant E.-M.; Jevnikar M.; Keddache S.; Lecoq A.-L.; Meyrignac O.; Parent F.; Pichon J.; Preda M.; Roche A.; Seferian A.; Bellin M.-F.; Gille T.; Corruble E.; Sitbon O.; Becquemont L.; Monnet X.; Humbert M.; Montani D.; Baudry E.; Choucha W.; Dortet L.; Hardy-Leger I.; Radiguer F.; Verny C.; Sportouch S.; Zaidan M.; Wyplosz B.","Beurnier, Antoine (57207315902); Savale, Laurent (35410452900); Jaïs, Xavier (8512908600); Colle, Romain (56206286100); Pham, Tai (57224761710); Morin, Luc (55799039700); Bulifon, Sophie (38660908300); Noël, Nicolas (26422364500); Boucly, Athénaïs (57041133700); Delbarre, Benoit (58749066300); Ebstein, Nathan (57216458702); Figueiredo, Samy (24068429400); Gasnier, Matthieu (57192643887); Harrois, Anatole (23100014400); Jutant, Etienne-Marie (56287394400); Jevnikar, Mitja (55521710100); Keddache, Sophia (57219570353); Lecoq, Anne-Lise (56425855500); Meyrignac, Olivier (14325519700); Parent, Florence (35426138900); Pichon, Jérémie (57218407838); Preda, Mariana (57219874908); Roche, Anne (57290626800); Seferian, Andrei (36926306400); Bellin, Marie-France (7005802766); Gille, Thomas (12761799000); Corruble, Emmanuelle (57190185514); Sitbon, Olivier (55785611900); Becquemont, Laurent (7004013400); Monnet, Xavier (6602900721); Humbert, Marc (55382766900); Montani, David (23392928800); Baudry, Elodie (54793926000); Choucha, Walid (55864398400); Dortet, Laurent (23469230900); Hardy-Leger, Isabelle (6506975496); Radiguer, François (57219186490); Verny, Christiane (55912593800); Sportouch, Sabine (57222493581); Zaidan, Mohamad (37030092500); Wyplosz, Benjamin (23989332900)","57207315902; 35410452900; 8512908600; 56206286100; 57224761710; 55799039700; 38660908300; 26422364500; 57041133700; 58749066300; 57216458702; 24068429400; 57192643887; 23100014400; 56287394400; 55521710100; 57219570353; 56425855500; 14325519700; 35426138900; 57218407838; 57219874908; 57290626800; 36926306400; 7005802766; 12761799000; 57190185514; 55785611900; 7004013400; 6602900721; 55382766900; 23392928800; 54793926000; 55864398400; 23469230900; 6506975496; 57219186490; 55912593800; 57222493581; 37030092500; 23989332900","Functional respiratory complaints among covid-19 survivors: A prospective cohort study","2023","ERJ Open Research","9","3","00063-2023","","","","12","10.1183/23120541.00063-2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178097355&doi=10.1183%2f23120541.00063-2023&partnerID=40&md5=c8da9faefe31e92ba4172f3ff219a685","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85178097355"
"Rothman A.M.K.; Florentin A.; Zink F.; Quigley C.; Bonneau O.; Hemmig R.; Hachey A.; Rejtar T.; Thaker M.; Jain R.; Huang S.-M.; Sutton D.; Roger J.; Zhang J.-H.; Weiler S.; Cotesta S.; Ottl J.; Srivastava S.; Kordonsky A.; Avishid R.; Yariv E.; Rathi R.; Khvalevsky O.; Troxler T.; Binmahfooz S.K.; Kleifeld O.; Morrell N.W.; Humbert M.; Thomas M.J.; Jarai G.; Beckwith R.E.J.; Cobb J.S.; Smith N.; Ostermann N.; Tallarico J.; Shaw D.; Guth-Gundel S.; Prag G.; Rowlands D.J.","Rothman, Alexander M.K. (55892862300); Florentin, Amir (57289293600); Zink, Florence (9840421700); Quigley, Catherine (7005337237); Bonneau, Olivier (36913791800); Hemmig, Rene (8951172100); Hachey, Amanda (59909151500); Rejtar, Tomas (6602484110); Thaker, Maulik (35742072500); Jain, Rishi (55449841300); Huang, Shih-Min (59722498000); Sutton, Daniel (55906518200); Roger, Jan (41561919800); Zhang, Ji-Hu (59722901400); Weiler, Sven (59723107800); Cotesta, Simona (6507469388); Ottl, Johannes (6603449908); Srivastava, Salil (59723514200); Kordonsky, Alina (57221728322); Avishid, Reut (57288960000); Yariv, Elon (57211143293); Rathi, Ritu (57203974771); Khvalevsky, Oshrit (59723716200); Troxler, Thomas (56619281000); Binmahfooz, Sarah K. (58288134700); Kleifeld, Oded (35311004300); Morrell, Nicholas W. (7006109041); Humbert, Marc (55382766900); Thomas, Matthew J. (57194146429); Jarai, Gabor (55676848100); Beckwith, Rohan E.J. (7004103231); Cobb, Jennifer S. (56789574600); Smith, Nichola (37100270300); Ostermann, Nils (6602271613); Tallarico, John (6602692313); Shaw, Duncan (57189900868); Guth-Gundel, Sabine (56436858900); Prag, Gali (6507528952); Rowlands, David J. (57204303511)","55892862300; 57289293600; 9840421700; 7005337237; 36913791800; 8951172100; 59909151500; 6602484110; 35742072500; 55449841300; 59722498000; 55906518200; 41561919800; 59722901400; 59723107800; 6507469388; 6603449908; 59723514200; 57221728322; 57288960000; 57211143293; 57203974771; 59723716200; 56619281000; 58288134700; 35311004300; 7006109041; 55382766900; 57194146429; 55676848100; 7004103231; 56789574600; 37100270300; 6602271613; 6602692313; 57189900868; 56436858900; 6507528952; 57204303511","Therapeutic potential of allosteric HECT E3 ligase inhibition","2025","Cell","188","10","","2603","2620.e18","","2","10.1016/j.cell.2025.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001811230&doi=10.1016%2fj.cell.2025.03.001&partnerID=40&md5=3a22ddfd5975074b8103756b688dc58e","Article","Final","","Scopus","2-s2.0-105001811230"
"Kovacs G.; Humbert M.","Kovacs, Gabor (57192991243); Humbert, Marc (55382766900)","57192991243; 55382766900","Primum non nocere, secundum cavere, tertium sanare: lessons on the management of pulmonary hypertension associated with COPD","2024","European Respiratory Journal","63","6","2400765","","","","0","10.1183/13993003.00765-2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195438985&doi=10.1183%2f13993003.00765-2024&partnerID=40&md5=d9f0a8e4e41dd99358691f27d2d47d2c","Review","Final","","Scopus","2-s2.0-85195438985"
"Jutant E.-M.; Chelgham M.K.; Ottaviani M.; Thuillet R.; Le Vely B.; Humbert M.; Guignabert C.; Tu L.; Huertas A.","Jutant, Etienne-Marie (56287394400); Chelgham, Mustapha K. (57829938300); Ottaviani, Mina (57397989100); Thuillet, Raphaël (56019732200); Le Vely, Benjamin (57215561159); Humbert, Marc (55382766900); Guignabert, Christophe (23396499300); Tu, Ly (23006846000); Huertas, Alice (12775659800)","56287394400; 57829938300; 57397989100; 56019732200; 57215561159; 55382766900; 23396499300; 23006846000; 12775659800","Central role of ubiquitin-specific protease 8 in leptin signaling pathway in pulmonary arterial hypertension","2024","Journal of Heart and Lung Transplantation","43","1","","120","133","13","0","10.1016/j.healun.2023.09.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173911273&doi=10.1016%2fj.healun.2023.09.003&partnerID=40&md5=809d8368c0287d7c4d2bdfaba7ff5ad6","Article","Final","","Scopus","2-s2.0-85173911273"
